"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry"
"1","CVX","Chevron Corporation","95.24","179351805535.8","1970","Energy","Integrated oil Companies"
"2","GE","General Electric Company","30.71","286542951104.3","1962","Energy","Consumer Electronics/Appliances"
"3","PTR","PetroChina Company Limited","63.86","116877196423.08","2000","Energy","Oil & Gas Production"
"4","TOT","TotalFinaElf, S.A.","45.6","111266639464.8","1991","Energy","Oil & Gas Production"
"5","XOM","Exxon Mobil Corporation","83.32","346007680661.88","1970","Energy","Integrated oil Companies"
"6","BAC","Bank of America Corporation","dec.97","133923434290.49","1986","Finance","Major Banks"
"7","C","Citigroup Inc.","41.12","121226700691.36","1977","Finance","Major Banks"
"8","HSBC","HSBC Holdings plc","29.86","117559398865.96","2000","Finance","Savings Institutions"
"9","JPM","J P Morgan Chase & Co","58.2","213609417005.4","1983","Finance","Major Banks"
"10","WFC","Wells Fargo & Company","47.03","238757784030.91","2013","Finance","Major Banks"
"11","AAPL","Apple Inc.","109.02","6,04E+11","1980","Technology","Computer Manufacturing"
"12","FB","Facebook, Inc.","108.99","310216109079.24","2012","Technology","Computer Software: Programming, Data Processing"
"13","GOOG","Alphabet Inc.","736.1","506672180488.7","2004","Technology","Computer Software: Programming, Data Processing"
"14","GOOGL","Alphabet Inc.","757.54","521429756293.18","2004","Technology","Computer Software: Programming, Data Processing"
"15","MSFT","Microsoft Corporation","54.31","429554233655.94","1986","Technology","Computer Software: Prepackaged Software"
